Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
CHF*,"Converium Finance S.A.,",8.25%,No,No,No,No,Guar Subordinated Notes due 12/23/2032,12/24/07,12/24/07
FPCNP*,"Finch, Pruyn &amp; Co. Inc.,",6%,Yes,No,No,No,Cumulative Preferred Stock,N/A,11/20/07
FRCCP*,"First Republic Preferred Capital,",8.875%,No,No,No,No,Series B Non-cumul Preferred Shares,12/30/06,11/19/07
XL-B*,"XL Capital Ltd,",7 5/8%,No,No,No,No,Series B Preference Ordinary Shares,11/18/07,11/19/07
AVASP*,"Avista Corp.,",$6.95,No,No,No,No,Preferred Stock Series K,N/A,11/09/07
ICOCZ*,"ICO Inc.,",6.75%,No,No,Yes,No,Depositary Shares Convertible Exch Preferred Stock,12/31/01,11/07/07
DREXP*,"Duke Realty Corp.,",7.99%,Yes,No,No,No,Dep Shares Series B Cumul Step-up Preferred Shares,9/30/07,10/22/07
MAA-F*,"Mid-America Apartment Communities,",9 1/4%,Yes,No,No,No,Series F Cumul Preferred Stock,10/11/07,10/16/07
C-M**,"Citigroup, Inc.,",5.864%,No,Yes,No,No,Dep Shares Series M Perp Preferred Stock,10/08/07,10/09/07
SPG-G*,"Simon Property Group,",7.89%,Yes,No,No,No,Series G Cumul Preferred Shares,9/30/07,10/02/07
NHP-A*,"Nationwide Health Properties,",7.677%,Yes,No,No,No,Series A Cumul Preferred Step-up Securities,9/30/07,10/01/07
ANB-C*,"Abbey National plc,",7.375%,No,Yes,No,No,Tier 1 Perpetual Subordinated Capital Securities,9/15/07,9/17/07
BRE-B*,"BRE Properties Inc.,",8.08%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,6/20/07,9/14/07
C-H*,"Citigroup, Inc.,",6.231%,No,Yes,No,No,Dep Shares Series H Perpetual Preferred Stock,9/08/07,9/10/07
MPN-A*,"Monongahela Power Co.,",4.40%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,9/04/07
MPN-C*,"Monongahela Power Co.,",4.50%,Yes,No,No,No,Series C Cumul Preferred Stock,N/A,9/04/07
MONOO*,"Monongahela Power Co.,",$6.28,Yes,No,No,No,Series D Cumul Preferred Stock,N/A,9/04/07
MONOP*,"Monongahela Power Co.,",4.80%,Yes,No,No,No,Series B Cumul Preferred Stock,N/A,9/04/07
