Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
CTGBL*,"Citigroup, Inc.,",5.86%,No,Yes,No,No,Fixed/Adj Dep Shares Series V Perp Preferred Stock,2/15/06,2/15/06
CJMA*,"Capital Automotive REIT,",6.75%,No,No,No,No,Monthly Income Notes due 4/15/2019,4/15/09,2/09/06
CARSO,"Capital Automotive REIT,",8.00%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Shares,4/27/09,2/09/06
CARSP,"Capital Automotive REIT,",7 1/2%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Shares,12/11/08,2/09/06
ONE-V*,"Bank One Capital V,",8.00%,No,No,No,No,Preferred Securities,1/30/06,2/05/06
LQI-*,"La Quinta Corp., Dep Shares",9.00%,Yes,No,No,Yes,Cumul Redeem Preferred Shares A,6/17/03,2/02/06
DRE-I*,Duke-Weeks Realty,8.45%,Yes,No,No,Yes,"Dep Shares Cumul Redeem Preferred Shares, Series I",2/01/06,2/01/06
XPP*,ML Depositor PreferredPlus,7.35%,No,No,No,No,AT&amp;T Corp. Certificates ATT-1,9/15/06,1/31/06
PSA-Q*,"Public Storage Inc.,",8.60%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series Q",1/19/06,1/19/06
GPWEP*,"Georgia Power Co.,",$4.60,Yes,No,No,No,Cumulative Preferred Stock,N/A,1/17/06
NWX-A*,"National Westminster Bank plc,",7.875%,No,No,No,No,Exchangeable Capital Securities,11/01/03,1/16/06
RBS-X*,"Royal Bank of Scotland,",8.50%,No,No,No,No,Exchangeable Capital Securities X-CAPs,6/30/04,12/31/05
PHI-A*,"Philippine Long Dist Tel,",$3.50,No,No,Yes,No,($4.12) Series III Convertible Preferred Stk ADR,N/A,12/19/05
SJR-B*,"Shaw Communications,",8.50%,No,No,No,No,COPrS Canadian Orig Preferred Securities,9/30/03,12/16/05
DUK-A*,"Duke Energy Corp.,",6.375%,No,No,No,No,"Preferred Stock A, 1993 Series",12/16/04,12/16/05
DUKEG*,"Duke Energy Corp.,",7.04%,Yes,No,No,No,Series Y Cumul Preferred Stock,N/A,12/16/05
DUKEJ*,"Duke Energy Corp.,",7.85%,Yes,No,No,No,Series S Cumul Preferred Stock,N/A,12/16/05
DUKEL*,"Duke Energy Corp.,",4.50%,Yes,No,No,No,Series C Cumul Preferred Stock,N/A,12/16/05
HBA-E*,"HSBC USA Inc.,",$1.8125,Yes,No,No,No,Cumulative Preferred Stock,7/01/00,12/15/05
RBS-J*,"Royal Bank of Scotland,",8.50%,No,No,No,No,Non-cumul Dollar Preference Shares Series J ADR,12/31/04,11/28/05
KGHIP*,"Kaiser Group Holdings, Inc. Series",1,Yes,No,No,Yes,Redeemable Cumulative Preferred Stock,N/A,11/17/05
KRB-A*,"MBNA Corp.,",7 1/2%,Yes,No,No,No,"Cumulative Preferred Stock, Series A",1/15/01,11/03/05
NICRM*,"NICOR Inc.,",5.00%,Yes,No,No,Yes,Series Cumul Redeem Preferred Stock,N/A,11/03/05
MNLPL*,"Monongahela Power Co.,",$7.73,Yes,No,No,No,Series L Cumul Preferred Stock,8/01/04,10/31/05
PRMHP*,"PRIMEDIA Inc.,",$8.625,No,No,No,No,Series H Exchangeable Preferred Stock,4/01/05,10/31/05
KUTLI*,"Kentucky Utilities Co.,",6.53%,Yes,No,No,No,Cumulative Preferred Stock,N/A,10/24/05
KUTLP*,"Kentucky Utilities Co.,",4.75%,Yes,No,No,No,Cumulative Preferred Stock,N/A,10/24/05
GLFPP*,"Gulf Power Co.,",5.16%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,10/17/05
GLFWO*,"Gulf Power Co.,",5.44%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,10/17/05
GLFWP*,"Gulf Power Co.,",4.64%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,10/17/05
BSF-Q*,"BSCH Finance Ltd,",8.625%,No,No,No,No,Non-cumul Guar Preferred Stock Series Q,10/06/05,10/06/05
POLGP*,"Polymer Group,",16%,No,No,Yes,No,"Conv Pay-in-Kind Preferred Stock, Series A",N/A,9/15/05
PCG-U*,"Pacific Gas &amp; Electric Co.,",7.04%,No,No,No,Yes,First Preferred Stock Redeemable,N/A,8/31/05
TXHCO*,"TXU US Holdings Co.,",$4.00,Yes,No,No,No,Dallas Power Cumul Preferred Stock,N/A,8/25/05
TXHHL*,"TXU US Holdings Co.,",$4.56,Yes,No,No,No,Texas Electric Cumul Preferred Stock,N/A,8/25/05
TXHHM*,"TXU US Holdings Co.,",$4.64,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/25/05
TXHHO*,"TXU US Holdings Co.,",$4.00,Yes,No,No,No,Texas Electric Cumul Preferred Stock A,N/A,8/25/05
TXHHP*,"TXU US Holdings Co.,",$4.56,Yes,No,No,No,Texas Power Cumul Preferred Stock A,N/A,8/25/05
TXHOL*,"TXU US Holdings Co.,",$4.44,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/25/05
TXHOM*,"TXU US Holdings Co.,",$4.80,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/25/05
TXHON*,"TXU US Holdings Co.,",$4.84,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/25/05
TXHOO*,"TXU US Holdings Co.,",$5.08,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/25/05
TXHOP*,"TXU US Holdings Co.,",$4.76,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/25/05
TUHUN*,"TXU US Holdings Co.,",$4.00,Yes,No,No,No,Texas Power Cumul Preferred Stock,N/A,8/25/05
TUHUO*,"TXU US Holdings Co.,",$4.24,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,8/25/05
TUHUP*,"TXU US Holdings Co.,",$4.50,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,8/25/05
HIW-D*,"Highwoods Properties,",8.00%,Yes,No,No,Yes,Dep Shares Series D Cumul Redeem Preferred Shares,4/23/03,8/22/05
CIN-J*,"PSI Energy, Inc.,",6 7/8%,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/17/05
ONE-U*,"Bank One Capital II,",8.50%,No,No,No,No,Preferred Securities,8/15/05,8/15/05
CCB*,"Chase Capital VIII,",8.25%,No,No,No,No,Capital Securities Series H,7/31/05,7/31/05
EYMSO*,"Entergy Mississippi,",7.44%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,7/22/05
CPE-A*,"Callon Petroleum Co.,",$2.125,No,No,Yes,No,"Convertible Exch Preferred Stock, Series A",12/31/98,7/14/05
CTH-B*,"BCH Capital Ltd,",9.43%,No,No,No,No,Series B Non-cumul Preference Shares,7/12/05,7/12/05
TNPEO*,"TNP Enterprises Inc.,",14.5%,No,No,No,No,Series D Preferred Stock,N/A,7/06/05
TGCIP*,"TGC Industries, Inc.,",8%,No,No,Yes,No,Series C Convertible Exch Preferred Stock,7/01/00,6/30/05
CTPPN*,"Central Maine Power Co.,",3.50%,No,No,No,No,Series Preferred Stock,N/A,6/10/05
PCG-Y*,"Pacific Gas &amp; Electric Co.,",6.57%,No,No,No,Yes,First Preferred Stock Mand Redeemable,N/A,5/31/05
PCG-Z*,"Pacific Gas &amp; Electric Co.,",6.30%,No,No,No,Yes,First Preferred Stock Mand Redeemable,N/A,5/31/05
SCEDP*,"Southern California Edison,",6.05%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,5/20/05
HMT-B*,"Host Marriott Corp.,",10.0%,Yes,No,No,Yes,Class B Cumul Redeem Preferred Stock,4/29/05,5/20/05
ELPAO*,"El Paso Tennessee Pipeline Co.,",8 1/4%,Yes,No,No,No,"Cumul Preferred Stock, Series A",12/31/01,5/18/05
PMDPO*,"PRIMEDIA Inc.,",$9.20,No,No,No,No,Series F Exchangeable Preferred Stock,11/01/04,5/11/05
PMDPP*,"PRIMEDIA Inc.,",$10.00,No,No,No,No,Series D Exchangeable Preferred Stock,2/01/05,5/11/05
PSA-F**,"Public Storage Inc.,",9.75%,Yes,No,No,No,"Cumulative Preferred Stock, Series F",4/30/05,5/02/05
OHI-B*,"Omega Healthcare Investors,",8.625%,Yes,No,No,No,Series B Cumulative Preferred Stock,7/01/03,5/02/05
SCEDM*,"Southern California Edison,",7.23%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/30/05
CSD-A*,"Cadbury Schweppes Delaware L.P.,",8.625%,No,No,No,No,"Qrtly Income Preferred Sec, Series A",N/A,4/18/05
PLREO*,"Price Legacy Corp.,",8 3/4%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,8/15/03,4/11/05
CVE-*,"Cleveland Electric Illuminating,",$7.40,Yes,No,No,No,Series A Cumul Serial Preferred Stock,N/A,3/14/05
ROIAO*,"Radio One, Inc.,",6.50%,No,No,Yes,No,Convertible Preferred Securities (High Tides),N/A,2/23/05
AGU-*,"Agrium, Inc.,",8%,No,No,No,No,COPrS Canadian Originated Preferred Securities,4/22/03,2/14/05
SJR-A*,"Shaw Communications,",8.45%,No,No,No,No,COPrS Canadian Orig Preferred Sec A,9/30/02,2/01/05
PSA-E**,"Public Storage Inc.,",10.0%,Yes,No,No,No,Cumulative Preferred Stock Series E,1/31/05,1/31/05
ME-A*,"Mission Capital L.P.,",9 7/8%,No,No,No,No,MIPS Monthly Income Preferred Securites Series  A,11/30/99,1/25/05
ME-B*,"Mission Capital L.P.,",8 1/2%,No,No,No,No,MIPS Monthly Income Preferred Securites Series  B,8/01/00,1/25/05
AIV-D*,"Apartment Investment &amp; Management,",8 3/4%,Yes,No,No,No,Class D Cumul Preferred Stock,2/19/03,1/21/05
AEC-A*,"Associated Estates Realty Corp.,",9 3/4%,No,No,No,No,Dep Shares Preferred Shares A,7/25/00,1/06/05
FLPTL*,"Florida Power &amp; Light Co.,",4 1/2%,Yes,No,No,No,Series A Cumul Preferred Stock,N/A,1/03/05
MER-A*,"Merrill Lynch &amp; Co. Inc.,",9.00%,Yes,No,No,No,Dep Shares Cumul Preferred Stock A,12/30/04,12/30/04
FCFCO*,"FirstCity Financial Corp.,",$2.10,No,No,No,Yes,Redeemable Preferred Stock,9/30/03,12/30/04
CCJ-*,"Cameco Corp.,",8.75%,No,No,No,No,Preferred Securities,10/14/03,12/17/04
DUKEP*,"Duke Energy Corp.,",6.75%,Yes,No,No,No,Series X Cumul Preferred Stock,N/A,12/16/04
GWL*,"Great-West Life &amp; Annuity Insurance Capital I,",7.25%,No,No,No,No,Cap Inc Sec,6/30/04,12/16/04
POMPN*,"Potomac Electric Power Co.,",$3.40,No,No,No,No,Series of 1992 Preferred Stock,9/01/02,12/01/04
CHK-*,"Chesapeake Energy Corp.,",6.75%,Yes,No,Yes,No,Cumulative Convertible Preferred Stock,11/20/04,11/22/04
RPO-A*,"Rhone-Poulenc Overseas Ltd,",8 1/8%,Yes,No,No,No,Cumulative Preference Shares,7/08/03,11/19/04
GRM-A*,"Grand Metropolitan Delaware L.P.,",9.42%,No,No,No,No,Guar Preferred Securities A ADR,11/15/04,11/16/04
NOP-A*,"News Corp Overseas Ltd,",8 5/8%,Yes,Yes,No,No,Series A Cumul Guar Perp Pref Shares,7/30/98,11/12/04
MNCGP*,"Michigan Consolidated Gas Co.,",6.85%,No,No,No,No,Senior Insured Qrtly Notes due 2039,6/01/04,11/05/04
CBO*,"Chase Capital VII,",7.00%,No,No,No,No,"Capital Securities, Series G",5/28/04,11/01/04
CBF*,"Chase Capital V,",7.03%,No,No,No,No,Capital Securities Series E,3/31/03,11/01/04
APPWO*,"Appalachian Power Co.,",5.92%,Yes,No,No,No,Cumul Preferred Stock,N/A,11/01/04
ONE-T*,"Bank One Capital I,",8.00%,No,No,No,No,Preferred Securities,9/20/04,11/01/04
RA-A*,"Reckson Associates Realty Corp.,",7 5/8%,Yes,No,Yes,No,Convertible Cumul Preferred Stock A,4/13/04,10/15/04
UGICP*,"UGI Utilities Inc.,",$7.75,Yes,No,No,No,Series Cumulative Preferred Stock,10/01/04,10/01/04
PSA-D**,"Public Storage Inc.,",9.50%,Yes,No,No,No,"Cumulative Preferred Stock, Series D",9/30/04,9/30/04
ECA-A*,"EnCana Corp.,",9.50%,No,No,No,No,Preferred Securities,9/30/04,9/30/04
IDHOL*,"Idaho Power Co.,",7.07%,Yes,No,No,No,Cumul Serial Preferred Stock,N/A,9/20/04
IDHOO*,"Idaho Power Co.,",4.00%,Yes,No,No,No,Cumul Preferred Stock,N/A,9/20/04
IDHOP*,"Idaho Power Co.,",7.68%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,9/20/04
ESOPF*,"Espirito Santo Overseas Ltd,",8.50%,No,No,No,No,Non-cumul Guar Pref Shares B,8/31/04,9/01/04
ESB-B*,"Espirito Santo Overseas Ltd,",8.50%,No,No,No,No,Non-cumul Guar Pref Shares B,8/31/04,9/01/04
JAMSO*,"Jameson Inns Inc.,",$1.70,Yes,No,Yes,No,Series S Cumul Convertible Preferred Stock,2/01/03,8/25/04
JAMSP*,"Jameson Inns Inc.,",9.25%,Yes,No,No,No,Series A Cumul Preferred Stock,3/18/03,8/25/04
PSA-M**,"Public Storage Inc.,",8.75%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series M",8/17/04,8/17/04
HMT-A*,"Host Marriott Corp.,",10.0%,Yes,No,No,Yes,Class A Cumul Redeem Preferred Stock,8/03/04,8/03/04
SSS-B*,"Sovran Self Storage,",9.85%,Yes,No,No,Yes,Cumul Redeem Preferred Shares B,7/30/04,8/01/04
O-C*,"Realty Income Corp.,",9 1/2%,Yes,No,No,Yes,Class C Cumulative Redeemable Preferred Stock,7/30/04,7/30/04
LGN-*,"Lodgian Inc.,",12.25%,No,No,No,No,Series A Preferred Stock,11/26/02,7/26/04
VVI-*,"Viad Corp.,",$4.75,No,No,No,Yes,Redeemable Preferred Stock,N/A,7/16/04
TYCGP*,"Taylor Capital Group,",9%,No,Yes,No,No,"Non-cumulative Perpetual Preferred Stock, Series A",1/15/02,7/16/04
MWN*,"Morgan Stanley Dean Witter,",7.25%,No,No,No,No,Series C Senior Notes,6/17/04,7/15/04
ACE-B*,"Capital Re LLC,",7.65%,Yes,No,No,No,Cumul Mntly Inc Preferred Shares (MIPS),1/31/99,7/12/04
ARE-A*,"Alexandria Real Estate Equities,",9.50%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,6/11/04,7/07/04
BVS*,"Bay View Capital I,",9.76%,Yes,No,No,No,Cumulative Capital Securities,12/31/03,6/30/04
NEV-T*,"Nuevo Financing I,",$2.875,No,No,Yes,No,TECONS Term Convertible Securities A,12/15/02,6/29/04
CXW-B*,"Corrections Corp. of America,",12%,No,No,Yes,No,Series B Conv Preferred Stock,N/A,6/28/04
WRC-*,"Westport Resources Corp.,",6 1/2%,No,No,Yes,No,Convertible Preferred Stock,3/15/03,6/21/04
SUD*,"Abbey National plc,",7.25%,No,Yes,No,No,Perpetual Subordinated Capital Securities,6/15/04,6/15/04
TLM-B*,"Talisman Energy Inc.,",8.90%,No,No,No,No,Preferred Securities,6/15/04,6/15/04
O-B*,"Realty Income Corp.,",9 3/8%,Yes,No,No,Yes,Class B Cumulative Redeemable Preferred Stock,5/25/04,6/07/04
PRI*,"Cox Communications, Inc.",7.75%,No,No,No,No,Sprint PCS Exch PRIZES 11/5/02,N/A,6/07/04
VLP-B*,"Vineyard National Bancorp,",5.60%,No,No,Yes,No,Non-cumul Convertible Preferred Stock,9/16/05,6/03/04
RONCP*,"Ronson Corp.,",12%,Yes,No,Yes,No,Cumul Conv Preferred Stock,N/A,5/31/04
DUT*,"Duke Energy Corp.,",6.60%,No,No,No,No,Series C Senior Notes due 2038,3/11/04,5/28/04
ALQ*,"Alabama Power Co.,",6.75%,No,No,No,No,Senior Notes Series J due 6/30/2039,5/26/04,5/26/04
DQ-A*,"Duquesne Capital L.P.,",8 3/8%,No,No,No,No,MIPS Monthly Income Preferred Sec A,5/31/01,5/21/04
MTOHP*,"Metrocall Holdings Inc.,",15.0%,Yes,No,No,No,Cumul Series A Preferred Stock,N/A,5/17/04
CVCHN*,"CSC Holdings Inc.,",11 1/8%,No,No,No,No,Dep Shares Series M Preferred Stock,4/01/03,5/06/04
CVCHP*,"CSC Holdings Inc.,",11 3/4%,No,No,No,Yes,Series H Redeem Exch Preferred Stock,10/01/07,5/06/04
ROGEH*,"Rochester Gas &amp; Electric Corp.,",4.95%,No,No,No,No,Series K Preferred Stock,N/A,5/05/04
ROGEL*,"Rochester Gas &amp; Electric Corp.,",4.75%,No,No,No,No,Series I Preferred Stock,N/A,5/05/04
ROGEM*,"Rochester Gas &amp; Electric Corp.,",4.10%,No,No,No,No,Series H Preferred Stock,N/A,5/05/04
ROGEO*,"Rochester Gas &amp; Electric Corp.,",4.00%,No,No,No,No,Series F Preferred Stock,N/A,5/05/04
ROGEP*,"Rochester Gas &amp; Electric Corp.,",4.10%,No,No,No,No,Series J Preferred Stock,N/A,5/05/04
PSB-A*,"PS Business Parks,",9 1/4%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series A",4/30/04,4/30/04
NHI-*,"National Health Investors,",8.50%,Yes,No,Yes,No,Cumul Convertible Preferred Stock,2/15/99,4/30/04
OHI-A*,"Omega Healthcare Investors,",9.25%,Yes,No,No,No,Series A Cumulative Preferred Stock,7/01/02,4/30/04
SUA*,"Abbey National plc,",7%,No,Yes,No,No,Perpetual Subordinated Capital Securities,4/29/04,4/29/04
CMM-F*,"CRIIMI MAE, Inc.",12%,Yes,No,No,Yes,Series F Redeem Cumul Preferred Stock,11/05/00,4/28/04
CMM-G*,"CRIIMI MAE, Inc.",15%,Yes,No,No,Yes,Series G Redeem Cumul Div Preferred Stock,N/A,4/28/04
GL-A*,"Great Lakes REIT Inc.,",9 3/4%,Yes,No,No,Yes,Cumul Redeem Preferred Shares A,12/16/03,4/27/04
CCM-*,"Carlton Communications plc,",8%,No,No,No,No,Exch Capital Securities ADR,10/07/03,4/23/04
AIV-P*,"Apartment Investment &amp; Management,",9.00%,Yes,No,Yes,No,Class P Conv Cumul Preferred Stock,3/26/04,4/21/04
WGR-A*,"Western Gas Resources Inc.,",$2.625,Yes,No,Yes,No,Cumul Convertible Preferred Stock,2/16/03,4/19/04
MP-B*,"Mississippi Power Co.,",6.65%,No,No,No,No,Series Dep Shares Preferred Stock,N/A,4/05/04
MP-C*,"Mississippi Power Co.,",6.32%,No,No,No,No,Series Dep Shares Preferred Stock,N/A,4/05/04
MSPWO*,"Mississippi Power Co.,",7.00%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,4/05/04
WRI-C*,"Weingarten Realty Investors,",7.00%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Shares,3/15/04,4/01/04
LTC-B*,"LTC Properties Inc.,",9.00%,Yes,No,No,No,Series B Cumulative Preferred Stock,1/01/02,3/31/04
CFNLP*,"Cardinal Financial Corp.,",7.25%,Yes,No,Yes,No,Cumul Convertible Preferred Stock A,12/31/20,3/29/04
LTC-A*,"LTC Properties Inc.,",9.50%,Yes,No,No,No,Series A Cumulative Preferred Stock,4/01/01,3/25/04
FWT-A*,"FW Capital I,",9.375%,Yes,No,No,No,Cumulative Preferred Securities,2/16/04,3/19/04
CXW-A*,"Corrections Corp. of America,",8.0%,Yes,No,No,No,Series A Cumul PreferredShares,1/30/03,3/19/04
DRE-D*,"Duke Realty Investments,",7.375%,Yes,No,Yes,No,Dep Shares Cumul Convertible Preferred Shares D,12/31/03,3/16/04
TTN-*,"Titan Corp.,",$1.00,Yes,No,Yes,No,Cumul Convertible Preferred Stock,N/A,3/15/04
SU-A*,"Suncor Energy Inc.,",9 1/8%,No,No,No,No,Preferred Securities,3/15/04,3/15/04
PSA-L**,"Public Storage Inc.,",8 1/4%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series L",3/10/04,3/10/04
GPF*,"Georgia Power Co.,",6 5/8%,No,No,No,No,Series D Senior Notes due 2039,3/09/04,3/09/04
PPS-C*,"Post Properties Inc.,",7 5/8%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Shares,2/09/03,3/05/04
NCX-*,"NOVA Chemicals Ltd,",9 1/2%,No,No,No,No,Preferred Securities,10/22/03,3/01/04
NCX-A*,"NOVA Chemicals Corp.,",9.04%,No,No,No,No,Preferred Securities,1/26/04,3/01/04
OJB*,"Ohio Power Co.,",7 3/8%,No,No,No,No,Senior Notes,4/29/03,3/01/04
WXH-A*,"Winston Hotels Inc.,",9.25%,Yes,No,No,No,Series A Cumul Preferred Stock,9/28/01,2/24/04
SFI-B*,"iStar Financial, Inc.,",9.375%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,6/15/01,2/23/04
SFI-C*,"iStar Financial, Inc.,",9.20%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Stock,8/15/01,2/23/04
TLM-A*,"Talisman Energy Inc.,",9.00%,No,No,No,No,Preferred Securities,2/15/04,2/15/04
RSE-B*,"Rouse Co.,",6.00%,No,No,Yes,No,Series B Convertible Preferred Stock,4/01/00,2/10/04
NXY-A*,"Nexen Inc.,",9.375%,No,No,No,No,Preferred Securities,2/09/04,2/09/04
BRE-A*,"BRE Properties Inc.,",8 1/2%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,1/29/04,1/29/04
PSA-K*,"Public Storage Inc.,",8 1/4%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series K",1/19/04,1/20/04
DRE-E*,"Duke Realty Investments,",8.25%,Yes,No,No,Yes,Dep Shares Cumul Redeem Preferred Shares E,1/20/04,1/20/04
PEG-X*,"Public Service Electric &amp; Gas Capital,",8.00%,No,No,No,No,Mnthy Inc Preferred Sec,9/15/00,12/31/03
OLP-*,"One Liberty Properties Inc.,",$16.50,Yes,No,Yes,No,Cumul Convertible Preferred Stock,7/01/94,12/30/03
NSR-**,"Norfolk Southern Railway Co.,",$2.60,Yes,No,No,No,Cumul Preferred Stock Series A,N/A,12/29/03
SBP-A*,"Banco Santander Puerto Rico,",7.00%,No,No,No,No,Non-cumul Mntly Income Preferred Stock A,7/01/03,12/26/03
WRIPP*,"Weingarten Realty Investors,",7.125%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Shares,10/20/03,12/19/03
VEA*,"Virginia Electric &amp; Power Co.,",7.15% 1998,No,No,No,No,Series A Senior Notes,6/30/03,12/15/03
SPG-B*,"Simon Property Group,",6.50%,No,No,Yes,No,Series B Convertible Preferred Shares,9/24/03,12/15/03
NXY-*,"Nexen Inc.,",9.75%,No,No,No,No,Preferred Securities,10/30/03,12/15/03
CCIKP*,"Crown Castle Intl Corp.,",12 3/4%,No,No,No,No,Senior Exch Preferred Stock,12/15/01,12/15/03
ESB-A*,"Espirito Santo Overseas Ltd,",8.50%,No,No,No,No,Non-cumul Guar Pref Shares A,N/A,12/01/03
CBL-A*,"CBL &amp; Associates Properties,",9.00%,Yes,No,No,Yes,Cumul Redeem Preferred Stock A,7/01/03,11/28/03
GPB*,"Georgia Power Co.,",6.60%,No,No,No,No,Series B Senior Notes due 2038,11/25/03,11/25/03
BSF-H*,"BSCH Finance Ltd,",7.790%,No,No,No,No,Non-cumul Guar Preferred Stock Series H,6/01/02,11/21/03
BSF-J*,"BSCH Finance Ltd,",7.350%,No,No,No,No,Non-cumul Guar Preferred Stock Series J,12/01/02,11/21/03
FLPLI*,"Florida Power &amp; Light Co.,",4.35%,Yes,No,No,No,Series E Cumul Preferred Stock,N/A,11/19/03
FLPLO*,"Florida Power &amp; Light Co.,",6.98%,Yes,No,No,No,Series S Cumul Preferred Stock,3/01/03,11/19/03
FLPLP*,"Florida Power &amp; Light Co.,",4 1/2%,Yes,No,No,No,Cumul Preferred Stock,N/A,11/19/03
FLPTM*,"Florida Power &amp; Light Co.,",4 1/2%,Yes,No,No,No,Series C Cumul Preferred Stock,N/A,11/19/03
FLPTP*,"Florida Power &amp; Light Co.,",4.32%,Yes,No,No,No,Series D Cumul Preferred Stock,N/A,11/19/03
FMERP*,"FirstMerit Corp.,",6 1/2%,Yes,No,Yes,No,Cumul Convertible Preferred Stock Series B,6/24/99,11/14/03
NXTLN*,"Nextel Communications,",11.125%,No,No,No,No,Series E Exch Preferred Stock,2/15/03,11/12/03
CMV*,"Chase Capital IV,",7.34%,No,No,No,No,"Capital Securities, Series D",12/05/02,11/10/03
SEP-*,"Swedish Export Credit Corp.,",7.375%,No,Yes,No,No,Perp Non-cumul Preferred,9/01/03,11/06/03
PSD-C*,"Puget Sound Energy,",7.45%,No,No,No,No,Series II Preferred Stock,11/01/03,11/01/03
CCSBP*,"Chevy Chase Savings Bank,",13%,No,Yes,No,No,Non-cumul Perpetual Preferred Stock A,5/01/03,10/31/03
SRH*,"Sears Roebuck Acceptance Corp.,",6.95%,No,No,No,No,Notes due 10/23/2038,10/23/03,10/23/03
IEU*,"IES Utilities Inc.,",7 7/8%,No,No,No,No,Quarterly Debt Capital Securities,12/31/00,10/17/03
CRE-B*,"CarrAmerica Realty Corp.,",8.57%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,8/12/02,10/12/03
CRE-C*,"CarrAmerica Realty Corp.,",8.55%,Yes,No,No,Yes,Dep Shares Cumul Red Preferred Stock C,11/06/02,10/12/03
CRE-D*,"CarrAmerica Realty Corp.,",8.45%,Yes,No,No,Yes,Dep Shares Cumul Red Preferred Stock D,12/19/02,10/12/03
ASFCP*,"Astoria Financial Corp.,",12%,No,No,No,No,Series B Non-cumul Preferred Stock,10/01/03,10/01/03
HCP-B*,"Health Care Property Investors,",8.70%,No,No,No,No,Series B Preferred Stock,9/30/03,10/01/03
TUHUM*,"TXU US Holdings Co.,",$6.375,Yes,No,No,No,Cumulative Preferred Stock,10/01/03,10/01/03
GAM-*,"General American Investors,",7.20%,Yes,No,No,No,Tax-Advan Cumul Preferred Stock,6/23/03,9/23/03
PUGSN*,"Puget Sound Energy,",7.75%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,9/15/03
DDR-V*,"Developers Diversified Realty,",9 3/8%,Yes,No,No,Yes,Cumul Redeem Preferred Stock Series A,9/15/03,9/15/03
BSF-F*,"BSCH Finance Ltd,",8.125%,No,No,No,No,Non-cumul Guar Preferred Stock Series F,1/01/02,9/15/03
BSF-G*,"BSCH Finance Ltd,",8.125%,No,No,No,No,Non-cumul Guar Preferred Stock Series G,5/01/02,9/15/03
SEP-A*,"Swedish Export Credit Corp.,",7.20%,No,Yes,No,No,Perp Non-cumul Series B Preferred,12/05/02,9/12/03
HCP-A*,"Health Care Property Investors,",7 7/8%,No,No,No,No,Series A Preferred Stock,9/30/02,9/10/03
FCSTP*,"First Coastal Bancshares Inc.,",10%,Yes,No,Yes,No,Cumul Convertible Preferred Stock A,N/A,9/08/03
SRF*,"Sears Roebuck Acceptance Corp.,",7.00%,No,No,No,No,Notes due 3/01/2038,3/01/03,9/01/03
DDR-D*,"Developers Diversified Realty,",8.68%,No,No,No,No,Dep Shares Preferred Shares Class D,8/20/03,8/20/03
AIV-H*,"Apartment Investment &amp; Management,",9 1/2%,Yes,No,No,No,Class H Cumul Preferred Stock,8/14/03,8/18/03
MAA-B*,"Mid-America Apartment Communities,",8 7/8%,Yes,No,No,No,Series B Cumul Preferred Stock,12/01/02,8/18/03
TMA-A*,"Thornburg Mortgage Asset Corp.,",9.68%,Yes,No,Yes,No,Series A Cumul Convertible Preferred Stock,12/31/99,8/18/03
MAA-C*,"Mid-America Apartment Communities,",9 3/8%,Yes,No,No,No,Series C Cumul Preferred Stock,6/30/03,8/12/03
MAA-A*,"Mid-America Apartment Communities,",9.50%,Yes,No,No,No,Series A Cumul Preferred Stock,11/01/01,8/12/03
