Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
NOP-B*,N/A,N/A,No,No,No,No,N/A,7/30/98,11/12/04
TGF-F*,N/A,N/A,No,No,No,No,N/A,5/01/99,11/05/04
ACM-A*,N/A,N/A,No,No,No,No,N/A,9/15/01,8/05/04
CNSJP*,N/A,N/A,No,No,No,No,N/A,N/A,6/11/04
JZB*,N/A,N/A,No,No,No,No,N/A,2/25/06,5/11/04
NAR-**,N/A,N/A,No,No,No,No,N/A,9/29/03,1/22/04
BSC-A*,N/A,N/A,No,No,No,No,N/A,N/A,1/15/04
FCX-A*,N/A,N/A,No,No,No,No,N/A,8/01/99,12/19/03
WFC-B*,N/A,N/A,No,No,No,No,N/A,N/A,11/15/03
FCX-B*,N/A,N/A,No,No,No,No,N/A,N/A,8/01/03
MVBIP*,N/A,N/A,No,No,No,No,N/A,3/31/02,7/31/03
PSA-C**,N/A,N/A,No,No,No,No,N/A,6/30/99,6/30/03
FSMEP*,N/A,N/A,No,No,No,No,N/A,N/A,3/28/03
C-RCL*,N/A,N/A,No,No,No,No,N/A,8/31/99,3/03/03
C-Q**,N/A,N/A,No,No,No,No,N/A,5/31/99,3/03/03
