Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,1627.550049,1640.680054,1622.02002,1631.619995,562400,1631.619995
2017-02-23,1661.900024,1664.98999,1633.400024,1637.26001,412300,1637.26001
2017-02-22,1641.52002,1653.459961,1639.00,1651.73999,278400,1651.73999
2017-02-21,1642.97998,1657.23999,1637.420044,1647.00,448400,1647.00
2017-02-17,1648.780029,1648.780029,1634.060059,1637.400024,412700,1637.400024
2017-02-16,1647.449951,1658.969971,1642.50,1648.880005,301600,1648.880005
2017-02-15,1631.300049,1651.27002,1628.00,1648.959961,280600,1648.959961
2017-02-14,1646.180054,1646.310059,1630.339966,1637.290039,391000,1637.290039
2017-02-13,1652.00,1652.00,1640.00,1646.180054,413500,1646.180054
2017-02-10,1617.469971,1649.650024,1614.02002,1646.51001,818700,1646.51001
2017-02-09,1602.839966,1616.079956,1598.050049,1611.829956,413300,1611.829956
2017-02-08,1595.180054,1604.300049,1589.00,1601.189941,373600,1601.189941
2017-02-07,1590.00,1598.930054,1588.00,1598.699951,295400,1598.699951
2017-02-06,1581.339966,1588.869995,1571.319946,1587.180054,208800,1587.180054
2017-02-03,1576.48999,1587.98999,1572.810059,1583.380005,317500,1583.380005
2017-02-02,1570.030029,1585.449951,1567.00,1574.089966,444500,1574.089966
2017-02-01,1584.089966,1586.589966,1562.859985,1575.310059,329200,1575.310059
2017-01-31,1599.00,1599.410034,1569.030029,1575.130005,517600,1575.130005
2017-01-30,1598.650024,1603.579956,1571.00,1602.310059,469200,1602.310059
2017-01-27,1581.00,1605.469971,1577.670044,1602.920044,428000,1602.920044
2017-01-26,1576.560059,1587.51001,1575.449951,1581.439941,294200,1581.439941
2017-01-25,1569.00,1581.469971,1565.26001,1578.819946,308000,1578.819946
2017-01-24,1558.380005,1566.060059,1552.130005,1563.329956,358500,1563.329956
2017-01-23,1541.469971,1555.72998,1534.630005,1554.98999,428900,1554.98999
2017-01-20,1547.560059,1547.560059,1528.01001,1545.01001,586700,1545.01001
2017-01-19,1541.400024,1549.00,1532.719971,1539.02002,279200,1539.02002
2017-01-18,1545.219971,1547.25,1529.209961,1541.859985,246000,1541.859985
2017-01-17,1544.00,1546.98999,1534.01001,1540.130005,330200,1540.130005
2017-01-13,1535.75,1548.949951,1531.26001,1545.819946,326200,1545.819946
2017-01-12,1531.560059,1539.930054,1516.00,1538.589966,314900,1538.589966
2017-01-11,1532.209961,1546.670044,1527.02002,1536.109985,404600,1536.109985
2017-01-10,1534.959961,1544.560059,1529.50,1535.25,325100,1535.25
2017-01-09,1518.00,1538.77002,1518.00,1529.640015,397500,1529.640015
2017-01-06,1501.540039,1526.469971,1501.209961,1520.569946,472200,1520.569946
2017-01-05,1489.890015,1504.939941,1489.890015,1503.699951,447500,1503.699951
2017-01-04,1484.640015,1493.650024,1480.75,1487.290039,387700,1487.290039
2017-01-03,1476.910034,1487.359985,1459.48999,1477.569946,458500,1477.569946
2016-12-30,1483.48999,1483.48999,1462.339966,1466.060059,405100,1466.060059
2016-12-29,1477.209961,1487.430054,1473.349976,1480.160034,200900,1480.160034
2016-12-28,1494.72998,1496.050049,1476.47998,1480.459961,246700,1480.459961
2016-12-27,1490.01001,1503.390015,1486.430054,1493.420044,193900,1493.420044
2016-12-23,1477.540039,1490.079956,1470.339966,1486.199951,275600,1486.199951
2016-12-22,1501.400024,1503.180054,1475.420044,1481.339966,403100,1481.339966
2016-12-21,1498.109985,1512.709961,1495.00,1505.76001,290700,1505.76001
2016-12-20,1488.060059,1503.959961,1483.97998,1502.25,306500,1502.25
2016-12-19,1484.27002,1501.469971,1477.98999,1488.829956,390100,1488.829956
2016-12-16,1507.50,1507.969971,1473.130005,1484.280029,713200,1484.280029
