Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,97.07,102.00,95.699997,101.459999,25703700,101.459999
2017-02-23,105.50,106.389999,99.68,100.489998,39822200,100.489998
2017-02-22,111.419998,111.800003,109.989998,110.760002,10844300,110.760002
2017-02-21,108.230003,111.230003,108.220001,111.07,13798800,110.93
2017-02-17,106.699997,107.410004,104.790001,107.230003,14093500,107.094844
2017-02-16,109.389999,109.440002,105.660004,107.25,16179400,107.114816
2017-02-15,108.900002,109.800003,107.760002,109.00,9325500,108.86261
2017-02-14,107.989998,110.150002,106.290001,108.779999,21265800,108.642886
2017-02-13,113.389999,113.980003,108.199997,108.379997,29518100,108.243389
2017-02-10,119.93,120.699997,112.599998,113.620003,41277300,113.476789
2017-02-09,118.860001,119.059998,115.599998,116.379997,21064200,116.233305
2017-02-08,118.400002,119.309998,116.379997,118.610001,11239500,118.460498
2017-02-07,118.699997,120.919998,117.900002,119.129997,18655600,118.979839
2017-02-06,114.00,117.330002,114.00,117.309998,12669200,117.162133
2017-02-03,115.449997,115.900002,113.900002,114.379997,9318600,114.235826
2017-02-02,113.300003,115.739998,112.059998,115.389999,12081000,115.244555
2017-02-01,110.580002,114.120003,109.860001,113.949997,14750100,113.806368
2017-01-31,108.949997,110.050003,108.199997,109.18,9068900,109.042383
2017-01-30,110.919998,111.010002,107.910004,110.019997,12400100,109.881321
2017-01-27,109.93,111.889999,108.849998,111.769997,11799900,111.629115
2017-01-26,107.900002,109.949997,106.699997,109.650002,11450700,109.511792
2017-01-25,109.050003,109.300003,106.330002,107.790001,13069000,107.654136
2017-01-24,105.50,107.580002,104.900002,107.330002,10701300,107.194717
2017-01-23,103.800003,105.900002,103.699997,105.089996,9247600,104.957535
2017-01-20,106.080002,106.800003,103.120003,104.010002,12300600,103.878902
2017-01-19,103.07,106.459999,102.980003,105.160004,16121800,105.027454
2017-01-18,100.239998,103.230003,99.110001,102.949997,16360600,102.820233
2017-01-17,103.00,103.199997,100.57,101.110001,14515300,100.982556
2017-01-13,103.599998,105.00,103.059998,103.43,11445500,103.299631
2017-01-12,104.230003,104.699997,101.620003,103.440002,15640400,103.309621
2017-01-11,106.00,106.199997,104.150002,105.160004,13141600,105.027454
2017-01-10,107.809998,109.190002,105.629997,106.470001,22023000,106.3358
2017-01-09,103.50,108.00,103.50,107.279999,22857700,107.144777
2017-01-06,102.849998,104.25,101.199997,103.099998,20571400,102.970045
2017-01-05,104.529999,105.82,101.050003,101.739998,24607400,101.611759
2017-01-04,103.400002,105.50,101.529999,104.389999,29980500,104.25842
2017-01-03,104.400002,106.370003,99.379997,102.010002,37549900,101.881423
2016-12-30,111.349998,111.919998,106.300003,106.739998,30323300,106.605456
2016-12-29,104.900002,111.489998,102.800003,111.43,54384200,111.289547
